ACADEMIC_PERIOD,Department,Subject,Crs .,Title,IType,Sec .,CRN,Min Cr,Max Credit,Stat,Perm,Days,Meeting Time String,Dates,BldgRoom String,Enrl*,Lim**,Graduate Students,INSTRUCTOR_ID,Instructor,Instructor_Title,Grd?,Mode,Link ID,Link Cnct,XList Group,XList Enrl,XList Max Enrl,XList Seats Avail
202320,Technology Ldrshp & Innovatn,TLI,35520,Organization Dev And Change,LEC,001,19812,3.0,3.0,,,TR,12:00 PM-01:15 PM,01/09/23-04/29/23,FRNY G124,21,49,No,11140973.0,"Hurt, Andrew C.",Limited Term Lecturer,Y,Reg,Unk,Unk,Unk,0.0,0.0,0.0
202320,School of Engineering Tech,ECET,35901,Computer Data Acquisition Appl,LEC,002,14041,3.0,3.0,,,T,09:30 AM-11:20 AM,01/09/23-04/29/23,DUDL 5389,15,15,No,11847416.0,"Huston, Davin H.",Continuing Lecturer,Y,Reg,A1,A3,Unk,0.0,0.0,0.0
202320,School of Engineering Tech,ECET,38001,Global Prof Issues In ET,LEC,001,11172,3.0,3.0,,,MWF,01:30 PM-02:20 PM,01/09/23-04/29/23,ME 2061,88,90,No,11847416.0,"Huston, Davin H.",Continuing Lecturer,Y,Reg,Unk,Unk,Unk,0.0,0.0,0.0
202320,School of Engineering Tech,ECET,42800,Audio Electronics Topics,LEC,002,12613,3.0,3.0,,,T,11:30 AM-01:20 PM,01/09/23-04/29/23,DUDL 5379,14,16,No,11847416.0,"Huston, Davin H.",Continuing Lecturer,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
202320,Technology Ldrshp & Innovatn,OLS,38600,Ldrshp For Org Change & Innov,LEC,014,28068,3.0,3.0,,,TR,12:00 PM-01:15 PM,01/09/23-04/29/23,RAWL 1086,95,120,No,10372527.0,"Hutcheson, John S.",Senior Lecturer and Program Coordinator ,Y,Reg,Unk,Unk,Unk,0.0,0.0,0.0
202320,Technology Ldrshp & Innovatn,TLI,45800,Leadership For Competitive Adv,LEC,001,20245,3.0,3.0,,,TR,07:30 AM-08:45 AM,01/09/23-04/29/23,KRAN G002,23,45,No,10372527.0,"Hutcheson, John S.",Senior Lecturer and Program Coordinator ,Y,Reg,Unk,Unk,Unk,0.0,0.0,0.0
202320,School of Engineering Tech,MET,22000,Heat/Power,LEC,005,33491,3.0,3.0,,,MW,11:30 AM-12:20 PM,01/09/23-04/29/23,BHEE 117,33,60,No,10294961.0,"Hutzel, William J.",Professor,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
202320,School of Engineering Tech,MET,42100,Air Conditiong&Refrig,LEC,001,14787,3.0,3.0,,,MW,10:30 AM-11:20 AM,01/09/23-04/29/23,KNOY 427,18,24,No,10294961.0,"Hutzel, William J.",Professor,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
202320,School of Engineering Tech,ECET,27700,AC And Power Electronics,LEC,004,63472,3.0,3.0,,,WF,12:30 PM-01:20 PM,01/09/23-04/29/23,WALC 3127,30,30,No,10033718.0,"Jacob, James M.",Professor,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
202320,School of Engineering Tech,ECET,31800,Foundations Audio Electronics,LEC,003,13188,3.0,3.0,,,MW,10:30 AM-11:20 AM,01/09/23-04/29/23,GRIS 134,22,28,No,10033718.0,"Jacob, James M.",Professor,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
202320,School of Engineering Tech,ECET,33700,Continuous Syst Anlys & Design,LEC,006,13604,3.0,3.0,,,TR,09:30 AM-10:20 AM,01/09/23-04/29/23,HIKS G980D,85,89,No,10033718.0,"Jacob, James M.",Professor,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
202320,Computer Graphics Technology,CGT,27500,Data Visualization II,LEC,001,27629,3.0,3.0,,,MW,01:30 PM-02:20 PM,01/09/23-04/29/23,KNOY 314,13,30,Graduate Student,33134474.0,"Jaiyeoba, Oluwaseyi",Student,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
